tmdb_id,title,popularity,release_date
941294,Made in Heaven,4.7328,2022-02-18
939099,swingers ZwingerZ,4.0482,2022-03-20
1017478,ONE on Prime Video 1: Moraes vs. Johnson II,4.8548,2022-08-27
532639,Pinocchio,4.3918,2022-09-07
864370,Incantation,4.9305,2022-03-18
1067473,The Self-Irony of Fate,3.6515,2022-12-31
1001835,Wifelike,4.332,2022-08-12
1044142,Wo ist mein Safe Space? Fünf Frauen gegen strukturellen Rassismus,4.0233,2022-11-03
939099,swingers ZwingerZ,4.0482,2022-03-20
629176,Samaritan,4.039,2022-08-25
1030448,ONE on Prime Video 2: Xiong vs. Lee III,4.0256,2022-09-30
1044142,Wo ist mein Safe Space? Fünf Frauen gegen strukturellen Rassismus,4.0233,2022-11-03
945675,One Week Friends,3.9861,2022-06-18
656663,Jackass Forever,3.9759,2022-02-01
1721836,Career Fight,3.9553,2022-06-07
891010,Macherla Niyojakavargam,3.9355,2022-08-12
1020125,Nishwas,3.9292,2022-09-15
610150,Dragon Ball Super: Super Hero,3.9032,2022-06-11
1030598,In Bed,3.8925,2022-12-29
900783,The Kashmir Files,3.8896,2022-03-11
1722680,Visible,3.8891,2022-09-19
1020278,Drop Out,3.8764,2022-10-05
1267637,Mission is Feasible,3.8692,2022-10-27
683056,James,3.8323,2022-03-17
667739,The Man from Toronto,3.8112,2022-12-23
917773,Real Santa,3.7911,2022-01-13
758330,"Good Luck to You, Leo Grande",3.7765,2022-06-16
698948,Thirteen Lives,3.757,2022-07-18
1189022,Dead Silent,3.7325,2022-03-01
818397,Memory,3.7297,2022-04-28
760741,Beast,3.7185,2022-08-11
716814,The Wait,3.7163,2022-04-01
1722906,Arcade,3.6973,2022-07-06
901563,Close,3.6971,2022-11-01
814800,Goodnight Mommy,3.6662,2022-09-16
1011172,Stellar,3.6627,2022-09-11
916192,"The Tunnel to Summer, the Exit of Goodbyes",3.659,2022-09-09
1067473,The Self-Irony of Fate,3.6515,2022-12-31
877424,No Surprise,3.6482,2022-08-11
555604,Guillermo del Toro's Pinocchio,3.6401,2022-11-09
1125334,Mauvaise Blague,3.6195,2022-03-11
998938,Big Bang,3.6184,2022-08-03
929085,Aeterna: Part One,3.6114,2022-01-20
1133072,Take Me Away,3.5931,2022-08-01
804095,The Fabelmans,3.5919,2022-11-11
961624,Pellikuturu Party,3.5801,2022-06-24
715931,Emancipation,3.5719,2022-12-02
916378,The Best Weekend,3.5568,2022-02-02
1082428,The Poltergeist,2.8835,2022-10-29
1585969,Vağzalı,3.3985,2022-03-01
823625,Blacklight,3.446,2022-02-10
916401,Watch the Skies,3.0024,2022-12-25
